Territorial Authority,2011,2012,2013,2014,2015,2016,2017
Far North District,47.6,50.7,41.3,51.6,55.7,47.4,42.8
Whangarei District,61.0,64.8,59.0,61.3,62.8,60.7,56.2
Kaipara District,52.3,64.5,62.5,62.9,62.2,61.1,54.7
Auckland - Rodney,68.9,74.2,65.8,68.8,73.2,70.6,64.8
Auckland - Hibiscus and Bays,70.4,74.4,71.8,75.3,76.5,73.1,69.5
Auckland - Upper Harbour,76.9,74.3,70.6,72.8,74.1,70.8,68.6
Auckland - Kaipatiki,71.4,73.5,69.4,73.2,77.0,72.3,68.1
Auckland - Devonport-Takapuna,79.4,77.2,74.1,74.1,76.8,73.2,68.4
Auckland - Henderson-Massey,63.9,65.6,63.8,67.6,67.8,63.5,58.3
Auckland - Waitakere Ranges,73.1,76.0,70.6,71.1,73.1,70.9,64.0
Auckland - Great Barrier,73.1,52.9,61.5,86.2,75.0,80.0,36.4
Auckland - Waiheke,67.1,68.3,57.8,63.2,68.2,62.2,56.1
Auckland - Waitemata,65.6,69.4,66.6,71.4,70.4,65.8,61.0
Auckland - Whau,69.0,66.5,63.9,62.9,68.4,63.2,56.7
Auckland - Albert-Eden,78.4,77.6,74.3,77.8,75.7,73.8,68.8
Auckland - Puketapapa,71.9,73.4,71.3,72.4,75.5,70.1,62.5
Auckland - Orakei,74.8,76.9,75.1,79.9,78.1,76.2,72.1
Auckland - Maungakiekie-Tamaki,61.1,59.3,59.6,65.5,64.1,60.1,55.0
Auckland - Howick,77.5,79.2,74.6,77.3,77.6,76.0,71.3
Auckland - Mangere-Otahuhu,61.6,63.7,58.1,58.8,62.2,57.3,51.6
Auckland - Otara-Papatoetoe,69.6,64.7,61.4,64.9,64.9,59.2,54.6
Auckland - Manurewa,56.0,56.8,56.1,59.9,60.6,55.1,53.2
Auckland - Papakura,62.9,64.7,60.7,68.4,64.9,61.0,55.7
Auckland - Franklin,69.8,69.4,66.1,72.3,72.7,69.1,64.7
Thames-Coromandel District,63.0,65.7,66.0,64.5,62.7,62.1,57.7
Hauraki District,67.2,64.8,68.7,67.3,67.5,65.6,59.3
Waikato District,63.0,62.1,63.1,62.3,66.4,66.1,58.9
Matamata-Piako District,72.1,73.0,68.9,67.9,66.8,66.9,63.4
Hamilton City,70.5,70.6,64.5,64.1,65.7,65.3,57.9
Waipa District,69.4,72.2,68.0,67.2,69.4,69.3,61.1
Otorohanga District,74.0,65.6,61.0,63.0,63.0,59.9,47.5
South Waikato District,62.1,56.5,53.4,52.8,52.8,50.2,59.4
Waitomo District,58.6,64.7,57.7,60.2,60.4,57.1,51.5
Taupo District,69.1,61.9,55.6,64.1,65.6,60.5,56.8
Western Bay of Plenty District,68.6,69.2,61.9,67.8,65.7,65.8,58.3
Tauranga City,70.0,71.9,63.4,68.6,66.1,67.0,65.5
